epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.153,2.36735,4.33499,1.24608,0.29859,0.0633,0.04991,0.02734,2.23006,3.46113,1.10775,0.000195279,0.000195279,0.000195279
2,149.129,2.37531,3.57826,1.15248,0.53514,0.07829,0.06915,0.03621,2.20606,2.83831,1.09689,0.000352543,0.000352543,0.000352543
3,191.363,2.32351,3.07589,1.13822,0.55473,0.09972,0.08838,0.04747,2.15151,2.4807,1.08797,0.000470998,0.000470998,0.000470998
4,236.24,2.26669,2.79574,1.12639,0.41293,0.1075,0.09595,0.05148,2.10771,2.37442,1.08541,0.000413364,0.000413364,0.000413364
5,278.473,2.19913,2.56589,1.10309,0.25439,0.12857,0.09361,0.05014,2.07195,2.17077,1.07127,0.000355152,0.000355152,0.000355152
6,320.261,2.20419,2.47936,1.09565,0.35441,0.14011,0.10996,0.06241,2.01256,2.05474,1.06458,0.00029694,0.00029694,0.00029694
7,362.962,2.15635,2.37801,1.09233,0.25014,0.21653,0.11903,0.06933,2.00598,2.02525,1.06593,0.000238728,0.000238728,0.000238728
8,405.739,2.13839,2.32224,1.0829,0.21353,0.18436,0.12436,0.07223,1.9814,1.98462,1.06047,0.000180516,0.000180516,0.000180516
9,456.945,2.11366,2.27724,1.06941,0.18326,0.22005,0.13314,0.07834,1.96605,1.98461,1.05983,0.000122304,0.000122304,0.000122304
10,498.625,2.06801,2.21973,1.06351,0.20656,0.19324,0.13996,0.08356,1.95823,1.95833,1.04936,6.4092e-05,6.4092e-05,6.4092e-05
