epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2348,2.18513,4.36626,1.2372,0.02012,0.16268,0.03812,0.02171,2.02748,4.19615,1.05863,0.000193118,0.000193118,0.000193118
2,107.736,2.16546,3.68498,1.11253,0.23346,0.11325,0.07867,0.04404,2.08653,3.41622,1.08306,0.000386549,0.000386549,0.000386549
3,142.705,2.22049,3.04934,1.10428,0.55589,0.13071,0.11052,0.06077,2.07947,2.47171,1.08169,0.000577394,0.000577394,0.000577394
4,179.838,2.15458,2.58064,1.08651,0.41456,0.14795,0.1063,0.05853,2.05645,2.37026,1.07202,0.000576358,0.000576358,0.000576358
5,216.517,2.09017,2.30893,1.07666,0.53245,0.17116,0.14795,0.08747,1.91046,1.947,1.05632,0.000572477,0.000572477,0.000572477
6,253.23,2.02209,2.10751,1.06862,0.38877,0.21644,0.17027,0.1007,1.88321,1.88086,1.05342,0.000568596,0.000568596,0.000568596
7,289.464,1.99311,2.00672,1.06038,0.48979,0.25275,0.17788,0.10983,1.86138,1.83048,1.05127,0.000564715,0.000564715,0.000564715
8,325.174,1.95775,1.95829,1.05163,0.44989,0.25443,0.21315,0.13152,1.85649,1.75621,1.0385,0.000560834,0.000560834,0.000560834
9,361.269,1.90879,1.83735,1.03179,0.55397,0.28336,0.23039,0.14452,1.85234,1.66907,1.03476,0.000556954,0.000556954,0.000556954
10,397.774,1.908,1.83116,1.03475,0.48304,0.27659,0.23916,0.14596,1.8346,1.64402,1.03403,0.000553073,0.000553073,0.000553073
11,434.162,1.88053,1.75063,1.02973,0.50708,0.30706,0.27274,0.17825,1.81154,1.60174,1.03311,0.000549192,0.000549192,0.000549192
12,470.976,1.84779,1.7196,1.02385,0.5249,0.30304,0.28871,0.18172,1.77912,1.56388,1.01432,0.000545311,0.000545311,0.000545311
13,507.085,1.82826,1.6707,1.01208,0.5514,0.28199,0.28679,0.18596,1.81713,1.55081,1.0225,0.00054143,0.00054143,0.00054143
14,542.879,1.82909,1.65422,1.00764,0.67884,0.29489,0.29152,0.1816,1.79289,1.58633,1.01682,0.00053755,0.00053755,0.00053755
15,579.695,1.82182,1.6296,1.01247,0.65268,0.31003,0.34285,0.21857,1.75557,1.47725,1.02403,0.000533669,0.000533669,0.000533669
16,615.758,1.83494,1.59084,1.01545,0.56833,0.32115,0.35737,0.2278,1.72211,1.42914,1.00617,0.000529788,0.000529788,0.000529788
17,651.586,1.7874,1.54445,1.00662,0.35066,0.3555,0.36084,0.23798,1.69161,1.4028,1.00053,0.000525907,0.000525907,0.000525907
18,687.027,1.75978,1.52435,1.00307,0.48291,0.34474,0.36905,0.25003,1.68744,1.4051,0.99923,0.000522026,0.000522026,0.000522026
19,723.331,1.78929,1.50249,1.00431,0.57761,0.35986,0.38483,0.24954,1.73384,1.41379,0.99897,0.000518146,0.000518146,0.000518146
20,759.86,1.72124,1.46818,0.9941,0.52463,0.38088,0.40727,0.27343,1.6604,1.3537,0.99219,0.000514265,0.000514265,0.000514265
21,796.206,1.77215,1.50836,0.99289,0.4714,0.41271,0.41944,0.27936,1.66601,1.38154,0.99393,0.000510384,0.000510384,0.000510384
22,831.932,1.75099,1.45363,0.99386,0.58257,0.4147,0.43075,0.28968,1.64534,1.32669,0.99032,0.000506503,0.000506503,0.000506503
23,868.127,1.72988,1.42628,0.99112,0.53746,0.40503,0.42855,0.28738,1.61936,1.3306,0.98513,0.000502622,0.000502622,0.000502622
24,903.554,1.72327,1.42897,0.99591,0.65761,0.40661,0.45272,0.30662,1.67546,1.35215,0.98729,0.000498742,0.000498742,0.000498742
25,939.375,1.70807,1.40016,0.98426,0.4846,0.46057,0.46309,0.31509,1.62068,1.28201,0.98541,0.000494861,0.000494861,0.000494861
26,975.172,1.71519,1.39663,0.98588,0.49252,0.45418,0.45785,0.30748,1.62233,1.30461,0.98084,0.00049098,0.00049098,0.00049098
27,1010.72,1.71566,1.37398,0.98259,0.53512,0.4658,0.48034,0.33039,1.65174,1.27977,0.9798,0.000487099,0.000487099,0.000487099
28,1046.81,1.70024,1.3785,0.98325,0.63285,0.46822,0.49978,0.34664,1.59703,1.24121,0.97761,0.000483218,0.000483218,0.000483218
29,1082.45,1.67653,1.35645,0.98077,0.56252,0.48449,0.50282,0.33541,1.65878,1.27316,0.98987,0.000479338,0.000479338,0.000479338
30,1118.13,1.6887,1.34838,0.98151,0.6373,0.4819,0.51031,0.35527,1.59117,1.23662,0.97564,0.000475457,0.000475457,0.000475457
31,1153.68,1.68429,1.3244,0.97147,0.70475,0.46567,0.52194,0.36128,1.58872,1.20592,0.97702,0.000471576,0.000471576,0.000471576
32,1189.58,1.68038,1.3131,0.97345,0.6247,0.49476,0.52808,0.35955,1.61415,1.22052,0.97527,0.000467695,0.000467695,0.000467695
33,1225.71,1.65246,1.28155,0.96791,0.60143,0.49312,0.53572,0.37228,1.56921,1.22014,0.96657,0.000463814,0.000463814,0.000463814
34,1261.3,1.67655,1.29789,0.96796,0.59464,0.49069,0.52594,0.36394,1.59237,1.20651,0.97203,0.000459934,0.000459934,0.000459934
35,1296.69,1.6253,1.27136,0.96835,0.64627,0.48499,0.52338,0.36118,1.60144,1.19683,0.97083,0.000456053,0.000456053,0.000456053
36,1332.28,1.65534,1.27429,0.9679,0.58329,0.50023,0.52881,0.35519,1.58607,1.18889,0.97204,0.000452172,0.000452172,0.000452172
37,1368.87,1.6825,1.27823,0.97158,0.72162,0.49031,0.5556,0.38698,1.56846,1.16633,0.96511,0.000448291,0.000448291,0.000448291
38,1405.4,1.65979,1.26547,0.96742,0.60948,0.52493,0.56257,0.39098,1.56188,1.17096,0.9666,0.00044441,0.00044441,0.00044441
39,1440.33,1.65184,1.25539,0.96266,0.66907,0.51054,0.54992,0.38961,1.56924,1.15166,0.96427,0.00044053,0.00044053,0.00044053
40,1475.72,1.62716,1.23455,0.95854,0.64002,0.5141,0.56214,0.39455,1.5357,1.12152,0.96101,0.000436649,0.000436649,0.000436649
41,1511.29,1.62034,1.22583,0.95886,0.67332,0.52596,0.57072,0.3871,1.60063,1.15505,0.96918,0.000432768,0.000432768,0.000432768
42,1546.98,1.6191,1.20946,0.95306,0.69636,0.54166,0.57597,0.40049,1.56817,1.11563,0.96653,0.000428887,0.000428887,0.000428887
43,1582.24,1.62614,1.20863,0.964,0.67077,0.53654,0.57551,0.40085,1.54206,1.13372,0.95826,0.000425006,0.000425006,0.000425006
44,1617.69,1.60388,1.20121,0.95778,0.66885,0.54467,0.60386,0.41664,1.53068,1.1028,0.95834,0.000421126,0.000421126,0.000421126
45,1653.16,1.61635,1.17813,0.94996,0.66357,0.5701,0.60128,0.41492,1.56421,1.10618,0.96301,0.000417245,0.000417245,0.000417245
46,1687.7,1.6192,1.1728,0.96358,0.69493,0.55151,0.61861,0.43625,1.52141,1.08658,0.95413,0.000413364,0.000413364,0.000413364
47,1723.03,1.60008,1.17726,0.95323,0.67476,0.54911,0.59623,0.41905,1.53283,1.13039,0.95464,0.000409483,0.000409483,0.000409483
48,1759.05,1.56117,1.15359,0.94814,0.66411,0.57333,0.61492,0.43339,1.51393,1.08975,0.95513,0.000405602,0.000405602,0.000405602
49,1794.13,1.60851,1.18085,0.95557,0.72121,0.54278,0.611,0.43343,1.53811,1.09591,0.95701,0.000401722,0.000401722,0.000401722
50,1829.7,1.6249,1.18571,0.96044,0.7141,0.53514,0.59715,0.41076,1.55963,1.1055,0.96044,0.000397841,0.000397841,0.000397841
51,1864.74,1.57998,1.14732,0.9505,0.69827,0.5684,0.6197,0.44168,1.51176,1.06569,0.95237,0.00039396,0.00039396,0.00039396
52,1900.68,1.59456,1.14757,0.94796,0.70012,0.5591,0.60748,0.42186,1.56257,1.10112,0.95974,0.000390079,0.000390079,0.000390079
53,1936.15,1.57258,1.12816,0.94472,0.71178,0.5677,0.62172,0.43219,1.5356,1.078,0.95345,0.000386198,0.000386198,0.000386198
54,1971.68,1.5993,1.14077,0.95052,0.70053,0.59038,0.6386,0.45564,1.49587,1.03715,0.9493,0.000382318,0.000382318,0.000382318
55,2006.8,1.55997,1.1121,0.94428,0.69134,0.59886,0.63675,0.44879,1.51491,1.05372,0.9509,0.000378437,0.000378437,0.000378437
56,2042.98,1.54791,1.10362,0.94478,0.7397,0.57917,0.63338,0.43976,1.50904,1.06522,0.95107,0.000374556,0.000374556,0.000374556
57,2078.05,1.55859,1.10768,0.94243,0.74859,0.59302,0.65437,0.45386,1.52335,1.04969,0.95525,0.000370675,0.000370675,0.000370675
58,2114.07,1.54246,1.10317,0.93912,0.70515,0.60614,0.65969,0.47725,1.49556,1.02056,0.94686,0.000366794,0.000366794,0.000366794
59,2150.07,1.56715,1.11476,0.94064,0.75413,0.59053,0.64649,0.46459,1.49344,1.02665,0.94473,0.000362914,0.000362914,0.000362914
60,2186.61,1.51606,1.07535,0.93732,0.75367,0.59527,0.65823,0.47227,1.4906,1.02823,0.94609,0.000359033,0.000359033,0.000359033
61,2222.04,1.55335,1.10649,0.94286,0.72655,0.59494,0.65405,0.46352,1.47852,1.05099,0.94278,0.000355152,0.000355152,0.000355152
62,2257.12,1.56164,1.08478,0.93845,0.73175,0.63049,0.68065,0.48632,1.47779,1.0003,0.94122,0.000351271,0.000351271,0.000351271
63,2293.28,1.53449,1.08401,0.93765,0.75025,0.60408,0.64955,0.46557,1.48046,1.02354,0.94669,0.00034739,0.00034739,0.00034739
64,2329.15,1.51653,1.0626,0.93902,0.71529,0.63745,0.67923,0.48398,1.4584,0.99224,0.93811,0.00034351,0.00034351,0.00034351
65,2364.5,1.54696,1.08221,0.94046,0.74469,0.60354,0.66283,0.4742,1.46814,0.99523,0.94011,0.000339629,0.000339629,0.000339629
66,2400.04,1.52178,1.07417,0.93668,0.7743,0.59877,0.67007,0.47712,1.4617,0.99249,0.93935,0.000335748,0.000335748,0.000335748
67,2436.76,1.52435,1.05993,0.93027,0.73872,0.59017,0.66102,0.46907,1.51529,1.01154,0.94513,0.000331867,0.000331867,0.000331867
68,2472.32,1.51623,1.04785,0.93713,0.73243,0.62427,0.67793,0.49405,1.45806,0.98557,0.93896,0.000327986,0.000327986,0.000327986
69,2507.63,1.50236,1.04483,0.93617,0.7514,0.63962,0.6907,0.49654,1.45112,0.97524,0.93637,0.000324106,0.000324106,0.000324106
70,2542.65,1.51609,1.05846,0.93057,0.73767,0.63162,0.67757,0.48799,1.45556,0.97891,0.93858,0.000320225,0.000320225,0.000320225
71,2578.72,1.51373,1.04792,0.92904,0.77325,0.61276,0.67518,0.48736,1.45833,0.9694,0.93754,0.000316344,0.000316344,0.000316344
72,2614.52,1.51005,1.03853,0.93617,0.74315,0.60391,0.67268,0.47416,1.46792,0.97549,0.94152,0.000312463,0.000312463,0.000312463
73,2649.38,1.52035,1.03846,0.93722,0.74491,0.63586,0.68574,0.4838,1.49391,0.97803,0.9444,0.000308582,0.000308582,0.000308582
74,2684.64,1.5026,1.04478,0.92672,0.74195,0.62671,0.69203,0.49425,1.45847,0.96686,0.93557,0.000304702,0.000304702,0.000304702
75,2719.78,1.49075,1.02413,0.93341,0.75362,0.61315,0.67895,0.48854,1.45231,0.95655,0.93565,0.000300821,0.000300821,0.000300821
76,2755.77,1.50683,1.03646,0.92575,0.72221,0.66387,0.7039,0.51158,1.44118,0.94552,0.9345,0.00029694,0.00029694,0.00029694
77,2790.81,1.47526,1.01748,0.92478,0.75077,0.64104,0.70674,0.4973,1.46298,0.95214,0.93919,0.000293059,0.000293059,0.000293059
78,2825.62,1.49211,1.02284,0.93099,0.74437,0.6298,0.68245,0.47396,1.48154,0.97076,0.94111,0.000289178,0.000289178,0.000289178
79,2861.3,1.50312,1.0114,0.92623,0.78177,0.62388,0.69007,0.4904,1.48576,0.96836,0.94217,0.000285298,0.000285298,0.000285298
80,2896.98,1.49131,0.99742,0.92265,0.75131,0.65963,0.70963,0.51357,1.42292,0.92532,0.93258,0.000281417,0.000281417,0.000281417
81,2932.23,1.48327,1.00253,0.92327,0.76921,0.62348,0.69063,0.50205,1.42139,0.92915,0.9324,0.000277536,0.000277536,0.000277536
82,2967.66,1.47492,0.99904,0.92709,0.76932,0.64578,0.70496,0.51171,1.43534,0.92566,0.93477,0.000273655,0.000273655,0.000273655
83,3003.53,1.48062,0.99975,0.92528,0.77666,0.64846,0.70886,0.50868,1.43633,0.93077,0.93269,0.000269774,0.000269774,0.000269774
84,3038.71,1.46004,0.98682,0.92489,0.72785,0.66137,0.70367,0.51055,1.42781,0.92583,0.9307,0.000265894,0.000265894,0.000265894
85,3074.15,1.4868,0.99879,0.92577,0.783,0.64889,0.71033,0.51256,1.45762,0.92695,0.93686,0.000262013,0.000262013,0.000262013
86,3108.79,1.44877,0.97475,0.9188,0.74749,0.66627,0.70483,0.51445,1.41034,0.90514,0.92811,0.000258132,0.000258132,0.000258132
87,3144.4,1.46678,0.97834,0.92097,0.79061,0.63836,0.71417,0.51365,1.44403,0.92131,0.93189,0.000254251,0.000254251,0.000254251
88,3180.28,1.4701,0.98498,0.91939,0.77011,0.66316,0.71558,0.5219,1.41519,0.91476,0.92907,0.00025037,0.00025037,0.00025037
89,3215.57,1.45725,0.97154,0.92099,0.7771,0.65591,0.71455,0.51559,1.42139,0.91219,0.92802,0.00024649,0.00024649,0.00024649
90,3250.57,1.45805,0.97795,0.9175,0.78978,0.66069,0.72048,0.51982,1.41949,0.9127,0.92678,0.000242609,0.000242609,0.000242609
91,3286,1.45165,0.96048,0.92158,0.74411,0.67814,0.71297,0.51921,1.42289,0.90998,0.92881,0.000238728,0.000238728,0.000238728
92,3322.25,1.46118,0.97484,0.92007,0.78448,0.64434,0.70946,0.51915,1.41962,0.91055,0.92904,0.000234847,0.000234847,0.000234847
93,3357.86,1.46192,0.97405,0.92037,0.73089,0.66843,0.71041,0.51746,1.42437,0.90354,0.92999,0.000230966,0.000230966,0.000230966
94,3392.77,1.44193,0.96163,0.9131,0.76254,0.64777,0.70816,0.52131,1.40487,0.9017,0.92575,0.000227086,0.000227086,0.000227086
95,3428.21,1.45616,0.9648,0.91883,0.78841,0.65856,0.72215,0.52988,1.40314,0.89215,0.92442,0.000223205,0.000223205,0.000223205
96,3464.07,1.43965,0.94994,0.91724,0.79512,0.66694,0.72841,0.53303,1.408,0.89999,0.92463,0.000219324,0.000219324,0.000219324
97,3500.27,1.4667,0.96309,0.9176,0.80116,0.66889,0.73114,0.53994,1.39623,0.88036,0.9241,0.000215443,0.000215443,0.000215443
